attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,missingValueCode,missingValueCodeExplanation
date_time,YYYY-MM-DD hh:mm:ss,,,,observation date and time,Date,,
batt_volt_Avg,,volt,real,,battery voltage,numeric,,
PA_uS_2_Avg,,microsecond,real,,"sensor output period, 15 cm",numeric,"""NA""",missing value
PA_uS_3_Avg,,microsecond,real,,"sensor output period, 30 cm",numeric,"""NA""",missing value
PA_uS_Avg,,microsecond,real,,"sensor output period, 5 cm (used to calculate VW)",numeric,"""NA""",missing value
PTemp_C_AVG,,celsius,real,,panel temperature,numeric,,
shf_2_Avg,,wattPerMeterSquared,real,,"soil heat flux, under bare soil",numeric,"""NA""",missing value
shf_Avg,,wattPerMeterSquared,real,,"soil heat flux, under gravel",numeric,"""NA""",missing value
Temp_C_2_AVG,,celsius,real,,"soil temperature, 5 cm",numeric,"""NA""",missing value
Temp_C_3_AVG,,celsius,real,,"soil temperature, 15 cm",numeric,"""NA""",missing value
Temp_C_4_AVG,,celsius,real,,"soil temperature, 30 cm",numeric,"""NA""",missing value
Temp_c_AVG,,celsius,real,,sensor temperature,numeric,"""NA""",missing value
VW_2_AVG,,dimensionless,real,,"volumetric water content, 15 cm",numeric,"""NA""",missing value
VW_3_AVG,,dimensionless,real,,"volumetric water content, 30 cm",numeric,"""NA""",missing value
VW_AVG,,dimensionless,real,,"volumetric water content, 5 cm",numeric,"""NA""",missing value
