attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
date_time,YYYY-MM-DD hh:mm:ss,,,,observation date and time,Date,,
Albedo_AVG,,dimensionless,real,,shortwave surface albedo,numeric,-7999,7999
IR01_dn_4_AVG,,wattPerMeterSquared,real,,downwelling longwave (infrared) radiation,numeric,-7999,556.1
IR01_up_3_AVG,,wattPerMeterSquared,real,,downwelling longwave radiation corrected for Boltzmann radiation from sensor,numeric,-7999,6.359
IR01dnCor_AVG,,wattPerMeterSquared,real,,upwelling longwave (infrared) radiation,numeric,-7999,6999
IR01upCor_AVG,,wattPerMeterSquared,real,,upwelling longwave radiation corrected for Boltzmann radiation from sensor,numeric,-7999,6999
Net_RI_AVG,,wattPerMeterSquared,real,,net longwave (infrared) radiation,numeric,-7999,7999
Net_Rs_AVG,,wattPerMeterSquared,real,,net shortwave radiation,numeric,-7999,7999
Net_total_AVG,,wattPerMeterSquared,real,,net total radiation,numeric,-7999,7999
Rain_mm_TOT,,millimeter,real,,total rainfall for 30 min period,numeric,0,27.43
SR01_dn_2_AVG,,wattPerMeterSquared,real,,downwelling shortwave radiation,numeric,-7999,982
SR01_up_1_AVG,,wattPerMeterSquared,real,,upwelling shortwave radiation,numeric,-7999,1195
Temp_c_AVG,,celsius,real,,sensor temperature,numeric,-282.4,7999
Temp_k_AVG,,kelvin,real,,sensor temperature,numeric,-9.24,7999
